Date,Open,High,Low,Close,Adj Close,Volume,SMA_30,SMA_100,Daily Return,Rolling Volatility,Volume_SMA_30,Momentum,RSI
2019-11-28,7536.82,7730.07,7454.12,7463.11,7463.11,19050116751.0,7312.372,8411.3318,-0.03841267632491718,0.024949252688732736,20061845729.9,-73.71000000000004,57.37060069155921
2019-11-27,7220.88,7619.69,6974.17,7531.66,7531.66,23991412764.0,7320.424333333333,8395.4229,0.009185178832953111,0.024976293147583508,20102314122.166668,310.77999999999975,60.23463810882464
2019-11-26,7145.16,7320.23,7098.57,7218.37,7218.37,21129505542.0,7319.737666666667,8376.819,-0.04159640769763906,0.026148438237733506,20047063972.433334,73.21000000000004,48.328886353084634
2019-11-25,7039.98,7319.86,6617.17,7146.13,7146.13,42685231262.0,7315.4366666666665,8360.727799999999,-0.010007799544772489,0.026197832304680355,20751254842.866665,106.15000000000055,42.667180907097105
2019-11-24,7398.63,7408.58,7029.29,7047.92,7047.92,30433517289.0,7306.282999999999,8343.3291,-0.013743102910246496,0.026278280779110798,20999318015.666668,-350.71000000000004,34.55605729836418
2019-11-23,7296.16,7442.26,7151.42,7397.8,7397.8,21008924418.0,7307.688666666667,8328.6104,0.049643015244213995,0.027845673093021238,20771889228.233334,101.64000000000033,46.065987326937226
2019-11-22,7643.57,7697.38,6936.71,7296.58,7296.58,34242315785.0,7300.5216666666665,8315.9517,-0.01368244613263403,0.02768238184902015,21142148489.2,-346.9899999999998,44.05375884503965
2019-11-21,8023.64,8110.1,7597.38,7642.75,7642.75,22514243371.0,7315.574666666666,8306.384100000001,0.04744277456013646,0.02784807131147461,21248871529.3,-380.8900000000003,54.13143065978802
2019-11-20,8203.61,8237.24,8010.51,8027.27,8027.27,20764300437.0,7342.523,8299.9322,0.050311733342056186,0.029190322266430313,21186554371.2,-176.34000000000015,65.25210315492915
2019-11-19,8305.13,8408.52,8099.96,8206.15,8206.15,21083613816.0,7375.966666666666,8294.1488,0.022284039281100343,0.029353797552477558,21025854684.533333,-98.97999999999956,66.70324035321886
2019-11-18,8573.98,8653.28,8273.57,8309.29,8309.29,21579470673.0,7410.383,8289.036499999998,0.012568622313752664,0.029371631490090457,20683952947.7,-264.6899999999987,67.92822174121477
2019-11-17,8549.47,8727.79,8500.97,8577.98,8577.98,18668638897.0,7474.964999999999,8281.3992,0.032336096104480516,0.02405217328948996,20560780770.366665,28.51000000000022,69.75584529448228
2019-11-16,8491.17,8592.0,8473.97,8550.76,8550.76,16495389808.0,7528.907666666667,8270.405099999998,-0.0031732412526025433,0.02320362307313958,20436851565.633335,59.590000000000146,67.50923529936648
2019-11-15,8705.71,8730.87,8484.84,8491.99,8491.99,21796856471.0,7573.563999999999,8256.079800000001,-0.006873073270680097,0.022869574884470004,20600709121.2,-213.71999999999935,63.69004574901364
2019-11-14,8811.94,8826.94,8692.55,8708.09,8708.09,19084739975.0,7626.344666666667,8246.5289,0.02544750994760947,0.023059402899728784,20665632796.033333,-103.85000000000036,74.0633504453241
2019-11-13,8812.03,8836.84,8761.65,8808.26,8808.26,17545755405.0,7677.630666666667,8237.7471,0.011503096545855573,0.022938546820795404,20679633411.533333,-3.7700000000004366,74.37655146075998
2019-11-12,8759.75,8853.77,8685.43,8815.66,8815.66,20309769107.0,7730.048333333334,8229.818899999998,0.0008401205232360098,0.02288341929633414,20725723040.966667,55.909999999999854,84.53435728462647
2019-11-11,9056.92,9081.28,8700.61,8757.79,8757.79,20265510765.0,7781.393666666668,8221.0629,-0.006564454618258719,0.022937118430599198,20856223710.166668,-299.1299999999992,85.06291771094406
2019-11-10,8812.49,9103.83,8806.16,9055.53,9055.53,20587919881.0,7840.640666666667,8210.1982,0.03399716138432174,0.023471555928654544,20934186666.366665,243.04000000000087,90.18804773858285
